order_id,customer_id,order_date,delivery_date,status,shipping_cost,total_amount,payment_method,ship_method,coupon_code,ship_city,ship_country
1,1,2021-09-19,2021-09-24,Delivered,0.0,2412.5,Amazon Pay,Standard,FLASH25,Denver,Germany
2,1,2021-09-03,,Cancelled,14.99,2383.62,Credit Card,Priority,,Phoenix,USA
3,1,2024-05-21,2024-05-28,Delivered,14.99,2241.12,Credit Card,Same-Day,SAVE10,Portland,UK
4,1,2023-09-05,,Processing,14.99,496.13,PayPal,Same-Day,,Berlin,Canada
5,1,2021-10-30,2021-11-01,Delivered,5.99,1188.55,Credit Card,Standard,,London,UK
6,1,2023-04-15,2023-04-22,Delivered,0.0,2725.28,PayPal,Expedited,PRIME15,Chicago,UK
7,1,2021-07-16,2021-07-22,Delivered,29.99,2964.41,Credit Card,Same-Day,,Louisville,USA
8,1,2024-05-29,2024-06-05,Delivered,0.0,1358.13,Amazon Pay,Expedited,,Columbus,USA
9,1,2022-11-29,,Processing,9.99,1786.67,Amazon Pay,Priority,PRIME15,Birmingham,USA
10,1,2024-06-26,2024-07-01,Delivered,5.99,2626.33,Gift Card,Standard,,London,USA
11,1,2022-02-02,,Processing,9.99,3021.29,Gift Card,Priority,PRIME15,Chicago,USA
12,2,2024-08-14,,Processing,0.0,196.37,Credit Card,Standard,WELCOME5,Memphis,Australia
13,3,2021-05-13,,Shipped,0.0,3273.02,Credit Card,Priority,PRIME15,Berlin,Australia
14,3,2024-07-01,,Cancelled,14.99,2830.16,Gift Card,Priority,,London,USA
15,3,2021-10-25,2021-11-01,Delivered,9.99,2232.35,Debit Card,Expedited,SUMMER20,Los Angeles,Canada
16,3,2022-09-27,2022-10-02,Delivered,29.99,688.63,PayPal,Same-Day,SUMMER20,San Jose,USA
17,3,2023-04-08,2023-04-13,Delivered,0.0,1433.29,Amazon Pay,Priority,PRIME15,San Diego,USA
18,3,2023-05-06,2023-05-12,Delivered,19.99,763.51,Amazon Pay,Same-Day,,Berlin,USA
19,3,2024-08-24,2024-08-29,Delivered,14.99,2651.97,Credit Card,Standard,PRIME15,San Diego,USA
20,3,2024-03-05,2024-03-09,Delivered,14.99,2818.0,Credit Card,Priority,PRIME15,Seattle,USA
21,3,2024-02-02,,Cancelled,5.99,1430.17,Credit Card,Priority,,Milwaukee,USA
22,3,2021-10-26,2021-11-02,Delivered,14.99,1185.62,Amazon Pay,Standard,PRIME15,Manchester,USA
23,3,2022-05-08,2022-05-15,Delivered,29.99,1786.52,Credit Card,Priority,,Charlotte,USA
24,3,2021-01-14,2021-01-18,Delivered,9.99,228.49,PayPal,Same-Day,,Philadelphia,USA
25,4,2021-02-22,2021-02-23,Delivered,0.0,2146.12,Debit Card,Expedited,FLASH25,Oklahoma City,USA
26,4,2023-07-18,,Cancelled,29.99,2207.08,Amazon Pay,Expedited,,San Jose,USA
27,5,2022-03-28,,Shipped,9.99,1547.87,Credit Card,Priority,,Portland,USA
28,5,2021-09-24,2021-09-26,Delivered,14.99,2797.35,Amazon Pay,Expedited,,Austin,Australia
29,5,2024-05-17,2024-05-24,Delivered,0.0,1396.5,Debit Card,Same-Day,SAVE10,Fort Worth,USA
30,5,2022-04-21,2022-04-23,Delivered,5.99,1259.0,PayPal,Expedited,,Manchester,USA
31,5,2023-08-09,2023-08-11,Delivered,0.0,2376.33,PayPal,Expedited,SAVE10,Milwaukee,USA
32,5,2023-11-18,,Processing,9.99,1915.93,Amazon Pay,Same-Day,,Phoenix,UK
33,5,2022-08-31,,Shipped,0.0,2543.69,Credit Card,Priority,PRIME15,Denver,Canada
34,5,2021-03-30,2021-04-03,Delivered,0.0,835.41,Debit Card,Expedited,,Manchester,USA
35,6,2023-08-07,2023-08-10,Returned,0.0,272.37,Amazon Pay,Priority,,Fort Worth,USA
36,6,2023-11-30,,Cancelled,14.99,1197.08,Debit Card,Priority,SAVE10,Milwaukee,USA
37,6,2024-01-10,2024-01-11,Delivered,0.0,1906.86,Credit Card,Same-Day,,Albuquerque,USA
38,6,2023-10-07,2023-10-12,Delivered,9.99,1415.71,Amazon Pay,Standard,PRIME15,Vancouver,USA
39,6,2023-04-10,2023-04-17,delivered,29.99,2775.49,Gift Card,Priority,,Austin,USA
40,7,2024-07-12,,Processing,0.0,310.8,Credit Card,Standard,,El Paso,UK
41,7,2023-07-06,2023-07-12,Delivered,14.99,534.69,PayPal,Expedited,,Dallas,USA
42,7,2024-03-08,,Cancelled,29.99,2083.66,Credit Card,Same-Day,PRIME15,Munich,Germany
43,7,2024-01-15,,Shipped,29.99,66.42,Credit Card,Standard,,Chicago,Germany
44,7,2022-04-16,2022-04-20,Delivered,14.99,2511.46,PayPal,Standard,,El Paso,Germany
45,7,2023-11-15,2023-11-21,Delivered,0.0,999.65,Amazon Pay,Standard,FLASH25,Albuquerque,USA
46,8,2022-01-02,2022-01-07,Delivered,9.99,1676.83,PayPal,Standard,,Albuquerque,USA
47,8,2023-02-19,2023-02-24,Delivered,19.99,2326.29,Amazon Pay,Expedited,WELCOME5,San Jose,Germany
48,8,2024-03-22,,Cancelled,19.99,2960.83,Gift Card,Same-Day,,Chicago,UK
