review_id,product_id,customer_id,review_date,rating,review_text,helpful_votes,purchase_type
1,14,198,2022-02-13,4,Great quality and fast shipping. Would definitely buy again.,190,Verified Purchase
2,52,2,2021-12-18,4,Incredible value. This has become my favorite purchase this year.,45,Verified Purchase
3,26,264,2023-08-31,5,Absolutely love this product! Exceeded all my expectations.,52,Verified Purchase
4,55,430,2023-11-08,5,Perfect product. Exactly as described. Very happy with purchase.,119,Verified Purchase
5,35,92,2024-08-11,3,Okay product. Shipping took longer than expected.,160,Unverified
6,40,172,2024-03-28,5,Absolutely love this product! Exceeded all my expectations.,175,Verified Purchase
7,52,445,2023-07-24,2,Product looks nothing like the pictures. Misleading listing.,16,Verified Purchase
8,10,445,2021-10-04,5,Incredible value. This has become my favorite purchase this year.,204,Unverified
9,50,79,2022-06-28,5,Works perfectly. Easy setup and exactly what I needed.,230,Verified Purchase
10,49,332,2023-06-16,5,Absolutely love this product! Exceeded all my expectations.,144,Verified Purchase
11,14,192,2023-10-13,5,Great quality and fast shipping. Would definitely buy again.,211,Verified Purchase
12,20,404,2021-08-08,7,Five stars! Cannot imagine my life without this product now.,193,Verified Purchase
13,26,409,2021-03-10,4,Perfect product. Exactly as described. Very happy with purchase.,212,Verified Purchase
14,47,472,2023-11-21,5,Top notch quality. Fast delivery. Amazon delivered as promised.,208,Verified Purchase
15,37,400,2022-08-27,3,Decent product but packaging was damaged on arrival.,197,Unverified
16,33,52,2024-07-18,4,Incredible value. This has become my favorite purchase this year.,178,Verified Purchase
17,11,113,2022-12-08,4,Five stars! Cannot imagine my life without this product now.,89,Verified Purchase
18,10,144,2021-07-19,3,Average quality. Instructions could be clearer.,2,Verified Purchase
19,12,317,2022-04-04,4,Top notch quality. Fast delivery. Amazon delivered as promised.,242,Verified Purchase
20,36,115,2023-02-21,4,Incredible value. This has become my favorite purchase this year.,110,Verified Purchase
21,20,266,2023-04-07,5,Incredible value. This has become my favorite purchase this year.,201,Verified Purchase
22,39,372,2023-10-02,5,Top notch quality. Fast delivery. Amazon delivered as promised.,138,Unverified
23,25,41,2024-05-17,5,Incredible value. This has become my favorite purchase this year.,13,Verified Purchase
24,56,113,2022-09-30,3,Good overall but a bit overpriced for what you get.,4,Verified Purchase
25,51,340,2022-04-06,2,Stopped working after 2 weeks. Very disappointed.,61,Verified Purchase
